entity_type,precision,recall,f1,accuracy,tp,fp,fn,total_true,total_pred
SNILS,0.0,0.0,0.0,0.0,0,0,36,36,0
INN,0.0,0.0,0.0,0.0,0,0,27,27,0
BANK_ACCOUNT,0.0,0.0,0.0,0.0,0,0,6,6,0
BIRTHDAY,0.0,0.0,0.0,0.0,0,0,14,14,0
PERSON,0.3968253968253968,0.4098360655737705,0.40322580645161293,0.25252525252525254,75,114,108,183,189
VIN_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
PERCENT,0.0,0.0,0.0,0.0,0,8,0,0,8
DATE,0.0,0.0,0.0,0.0,0,141,0,0,141
LOCATION,0.14893617021276595,0.5,0.22950819672131148,0.12962962962962962,7,40,7,14,47
MEDICAL,0.0,0.0,0.0,0.0,0,0,6,6,0
ORGANIZATION,0.25510204081632654,0.7142857142857143,0.37593984962406013,0.23148148148148148,25,73,10,35,98
POSITION,0.0,0.0,0.0,0.0,0,0,13,13,0
EDUCATION,0.0,0.0,0.0,0.0,0,0,27,27,0
NUMBER,0.0,0.0,0.0,0.0,0,465,0,0,465
AGE,0.0,0.0,0.0,0.0,0,0,31,31,0
PHONE,0.0,0.0,0.0,0.0,0,0,123,123,0
CAR_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
ADDRESS,0.0,0.0,0.0,0.0,0,0,67,67,0
IP_ADDRESS,0.0,0.0,0.0,0.0,0,0,4,4,0
DRIVER_LICENSE,0.0,0.0,0.0,0.0,0,0,4,4,0
BANK_CARD,0.0,0.0,0.0,0.0,0,0,32,32,0
MONEY,0.0,0.0,0.0,0.0,0,76,0,0,76
TIME,0.0,0.0,0.0,0.0,0,27,0,0,27
FAMILY,0.0,0.0,0.0,0.0,0,0,4,4,0
EMAIL,0.0,0.0,0.0,0.0,0,0,69,69,0
PASSPORT,0.0,0.0,0.0,0.0,0,0,34,34,0
ALL,0.10180780209324453,0.13735558408215662,0.11693989071038251,0.062100986651189787,107,944,672,779,1051
