entity_type,precision,recall,f1,accuracy,tp,fp,fn,total_true,total_pred
BIRTHDAY,1.0,0.07142857142857142,0.13333333333333333,0.07142857142857142,1,0,13,14,1
EDUCATION,0.0,0.0,0.0,0.0,0,0,27,27,0
INN,0.0,0.0,0.0,0.0,0,0,27,27,0
LOCATION,0.058333333333333334,0.5,0.1044776119402985,0.05511811023622047,7,113,7,14,120
MEDICAL,0.0,0.0,0.0,0.0,0,0,6,6,0
BANK_ACCOUNT,0.0,0.0,0.0,0.0,0,0,6,6,0
PASSPORT,0.0,0.0,0.0,0.0,0,0,34,34,0
PERSON,0.4230769230769231,0.4207650273224044,0.42191780821917807,0.2673611111111111,77,105,106,183,182
EMAIL,0.8974358974358975,0.5072463768115942,0.6481481481481483,0.4794520547945205,35,4,34,69,39
PHONE,0.7540983606557377,0.7479674796747967,0.7510204081632651,0.6013071895424836,92,30,31,123,122
DRIVER_LICENSE,0.0,0.0,0.0,0.0,0,0,4,4,0
BANK_CARD,0.0,0.0,0.0,0.0,0,0,32,32,0
FAMILY,0.0,0.0,0.0,0.0,0,0,4,4,0
ORGANIZATION,0.43478260869565216,0.5714285714285714,0.49382716049382713,0.32786885245901637,20,26,15,35,46
POSITION,0.0,0.0,0.0,0.0,0,0,13,13,0
IP_ADDRESS,0.0,0.0,0.0,0.0,0,0,4,4,0
CAR_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
SNILS,0.0,0.0,0.0,0.0,0,0,36,36,0
AGE,0.5217391304347826,0.3870967741935484,0.4444444444444444,0.2857142857142857,12,11,19,31,23
VIN_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
ADDRESS,0.0,0.0,0.0,0.0,0,0,67,67,0
ALL,0.45778611632270166,0.31322207958921694,0.37195121951219506,0.22846441947565543,244,289,535,779,533
