entity_type,precision,recall,f1,accuracy,tp,fp,fn,total_true,total_pred
BIRTHDAY,0.0,0.0,0.0,0.0,0,0,14,14,0
EDUCATION,0.0,0.0,0.0,0.0,0,0,27,27,0
INN,0.0,0.0,0.0,0.0,0,0,27,27,0
LOCATION,0.12727272727272726,0.5,0.2028985507246377,0.11290322580645161,7,48,7,14,55
MEDICAL,0.0,0.0,0.0,0.0,0,0,6,6,0
BANK_ACCOUNT,0.0,0.0,0.0,0.0,0,0,6,6,0
PASSPORT,0.0,0.0,0.0,0.0,0,0,34,34,0
PERSON,0.38427947598253276,0.4808743169398907,0.42718446601941745,0.2716049382716049,88,141,95,183,229
EMAIL,0.0,0.0,0.0,0.0,0,0,69,69,0
PHONE,0.0,0.0,0.0,0.0,0,0,123,123,0
DRIVER_LICENSE,0.0,0.0,0.0,0.0,0,0,4,4,0
BANK_CARD,0.0,0.0,0.0,0.0,0,0,32,32,0
FAMILY,0.0,0.0,0.0,0.0,0,0,4,4,0
ORGANIZATION,0.0,0.0,0.0,0.0,0,0,35,35,0
POSITION,0.0,0.0,0.0,0.0,0,0,13,13,0
IP_ADDRESS,0.0,0.0,0.0,0.0,0,0,4,4,0
CAR_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
SNILS,0.0,0.0,0.0,0.0,0,0,36,36,0
AGE,0.0,0.0,0.0,0.0,0,0,31,31,0
VIN_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
ADDRESS,0.19455252918287938,0.746268656716418,0.308641975308642,0.18248175182481752,50,207,17,67,257
ALL,0.2680221811460259,0.18613607188703465,0.2196969696969697,0.12340425531914893,145,396,634,779,541
