method,entity_type,precision,recall,f1,accuracy,tp,fp,fn,total_true,total_pred
RegExp Baseline,BIRTHDAY,0.4,0.2857142857142857,0.3333333333333333,0.2,4,6,10,14,10
RegExp Baseline,EDUCATION,0.0,0.0,0.0,0.0,0,0,27,27,0
RegExp Baseline,INN,0.53125,0.6296296296296297,0.5762711864406779,0.40476190476190477,17,15,10,27,32
RegExp Baseline,LOCATION,0.0,0.0,0.0,0.0,0,0,14,14,0
RegExp Baseline,MEDICAL,0.0,0.0,0.0,0.0,0,0,6,6,0
RegExp Baseline,SHORT_NAME,0.0,0.0,0.0,0.0,0,3,0,0,3
RegExp Baseline,CARD,0.0,0.0,0.0,0.0,0,31,0,0,31
RegExp Baseline,BANK_ACCOUNT,0.0,0.0,0.0,0.0,0,0,6,6,0
RegExp Baseline,PASSPORT,0.5833333333333334,0.20588235294117646,0.3043478260869565,0.1794871794871795,7,5,27,34,12
RegExp Baseline,RUSSIAN_NAME,0.0,0.0,0.0,0.0,0,105,0,0,105
RegExp Baseline,PERSON,0.0,0.0,0.0,0.0,0,0,183,183,0
RegExp Baseline,EMAIL,0.8985507246376812,0.8985507246376812,0.8985507246376812,0.8157894736842105,62,7,7,69,69
RegExp Baseline,PHONE,0.7479674796747967,0.7479674796747967,0.7479674796747967,0.5974025974025974,92,31,31,123,123
RegExp Baseline,DRIVER_LICENSE,0.0,0.0,0.0,0.0,0,0,4,4,0
RegExp Baseline,BANK_CARD,0.0,0.0,0.0,0.0,0,0,32,32,0
RegExp Baseline,FAMILY,0.0,0.0,0.0,0.0,0,0,4,4,0
RegExp Baseline,ORGANIZATION,0.0,0.0,0.0,0.0,0,0,35,35,0
RegExp Baseline,POSITION,0.0,0.0,0.0,0.0,0,0,13,13,0
RegExp Baseline,IP_ADDRESS,0.75,0.75,0.75,0.6,3,1,1,4,4
RegExp Baseline,CAR_NUMBER,0.8125,0.52,0.6341463414634146,0.4642857142857143,13,3,12,25,16
RegExp Baseline,SNILS,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.46938775510204084,23,13,13,36,36
RegExp Baseline,AGE,0.5652173913043478,0.41935483870967744,0.4814814814814815,0.3170731707317073,13,10,18,31,23
RegExp Baseline,VIN_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
RegExp Baseline,ADDRESS,0.0,0.0,0.0,0.0,0,0,67,67,0
RegExp Baseline,ALL,0.5043103448275862,0.30038510911424904,0.3765084473049075,0.2319127849355798,234,230,545,779,464
Natasha Enhanced,BIRTHDAY,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.13333333333333333,2,1,12,14,3
Natasha Enhanced,EDUCATION,1.0,0.037037037037037035,0.07142857142857142,0.037037037037037035,1,0,26,27,1
Natasha Enhanced,INN,0.6666666666666666,0.37037037037037035,0.47619047619047616,0.3125,10,5,17,27,15
Natasha Enhanced,LOCATION,0.050359712230215826,0.5,0.0915032679738562,0.04794520547945205,7,132,7,14,139
Natasha Enhanced,MEDICAL,0.0,0.0,0.0,0.0,0,0,6,6,0
Natasha Enhanced,BANK_ACCOUNT,0.0,0.0,0.0,0.0,0,0,6,6,0
Natasha Enhanced,PASSPORT,0.75,0.08823529411764706,0.15789473684210525,0.08571428571428572,3,1,31,34,4
Natasha Enhanced,PERSON,0.4497354497354497,0.4644808743169399,0.45698924731182794,0.2961672473867596,85,104,98,183,189
Natasha Enhanced,EMAIL,0.8985507246376812,0.8985507246376812,0.8985507246376812,0.8157894736842105,62,7,7,69,69
Natasha Enhanced,PHONE,0.753968253968254,0.7723577235772358,0.7630522088353413,0.6168831168831169,95,31,28,123,126
Natasha Enhanced,DRIVER_LICENSE,0.0,0.0,0.0,0.0,0,0,4,4,0
Natasha Enhanced,BANK_CARD,1.0,0.1875,0.3157894736842105,0.1875,6,0,26,32,6
